,ID,Catchment Name,Area (m2),Length,Slope (Gradient),Order,Proportional coefficient (K),Exponential Coefficient (P),River System,Source_river,Target_river,f1,fsa,rsa,slope,K
140,141,6564_1,4644000,5481,0.00334,63,27.18,1,Rangitaki,63,60,0.4,0.7,93,0.00334,27.18
139,140,6562_1,781000,1727,0.00338,103,16.131,1,Rangitaki,103,101,0.4,0.7,98,0.00338,16.131
138,139,6561_1,1011043000,97641,0.00597,1,246.539,1,Rangitaki,1,0,0.15,0.2,122,0.00597,246.539
137,138,6559_2,636000,1831,0.04252,104,8.906,1,Rangitaki,104,103,0.4,0.7,106,0.04252,8.906
136,137,6559_1,494000,1741,0.07241,104,9.099,1,Rangitaki,104,103,0.4,0.7,128,0.07241,9.099
135,136,6557_1,11951000,7946,0.02375,149,72.024,1,Rangitaki,149,148,0.15,0.25,127,0.02375,72.024
134,135,6555_1,507127000,66475,0.00666,293,42.436,0.693,Rangitaki,293,230,0.4,0.75,145,0.00666,42.436
133,134,6554_2,45066000,20871,0.0222,149,39.35,0.693,Rangitaki,149,148,0.4,0.95,102.2,0.0222,39.35
132,133,6554_1,9177000,5501,0.03559,148,15.977,1,Rangitaki,148,137,0.4,0.75,119,0.03559,15.977
131,132,6552_1,689000,1015,0.00538,105,11.886,1,Rangitaki,105,104,0.4,0.7,103,0.00538,11.886
130,131,6550_2,668000,1177,0.00773,157,13.178,1,Rangitaki,157,155,0.4,0.75,98,0.00773,13.178
129,130,6550_1,24773000,11661,0.02155,159,32.446,0.693,Rangitaki,159,157,0.4,0.95,101.5,0.02155,32.446
128,129,6544_2,1182000,1855,0.0154,117,8.757,0.85,Rangitaki,117,115,0.4,0.8,79,0.0154,8.757
127,128,6544_1,164233000,42750,0.00903,117,149.088,1,Rangitaki,117,115,0.15,0.25,116,0.00903,149.088
126,127,6539_2,15946000,11232,0.0307,104,28.695,1,Rangitaki,104,103,0.4,0.7,146,0.0307,28.695
125,126,6539_1,3597000,4059,0.02264,104,13.07,1,Rangitaki,104,103,0.4,0.7,106,0.02264,13.07
124,125,6536_1,23898000,9946,0.04091,104,17.606,1,Rangitaki,104,103,0.4,0.7,123,0.04091,17.606
123,124,6535_2,67042000,23535,0.01723,83,116.454,1,Rangitaki,83,81,0.15,0.25,128,0.01723,116.454
122,123,6535_1,3024000,3504,0.00133,86,28.928,1,Rangitaki,86,83,0.4,0.7,96,0.00133,28.928
121,122,6526_1,20509000,9792,0.00896,230,28.055,1,Rangitaki,230,228,0.4,0.75,125,0.00896,28.055
120,121,6520_2,1143000,1703,0.0049,101,14.273,1,Rangitaki,101,98,0.4,0.7,96,0.0049,14.273
119,120,6520_1,54319000,21309,0.01744,103,111.987,1,Rangitaki,103,101,0.15,0.25,132,0.01744,111.987
118,119,6519_2,16956000,10824,0.03059,117,20.5,0.85,Rangitaki,117,115,0.4,0.8,122,0.03059,20.5
117,118,6519_1,4105000,4064,0.00904,115,60.044,1,Rangitaki,115,113,0.15,0.25,106,0.00904,60.044
116,117,6514_2,53855000,19938,0.0189,48,106.854,1,Rangitaki,48,37,0.15,0.2,125,0.0189,106.854
115,116,6514_1,2921000,4439,0.00233,48,114.778,1,Rangitaki,48,37,0.15,0.2,111,0.00233,114.778
114,115,6497_1,12306000,10270,0.02365,115,20.495,0.85,Rangitaki,115,113,0.4,0.8,117,0.02365,20.495
113,114,6492_2,51006000,31104,0.0122,113,144.498,1,Rangitaki,113,105,0.15,0.25,125,0.0122,144.498
112,113,6492_1,6531000,5587,0.01536,113,61.34,1,Rangitaki,113,105,0.15,0.25,109,0.01536,61.34
111,112,6488_2,40389000,17200,0.02247,53,95.838,1,Rangitaki,53,51,0.15,0.25,124,0.02247,95.838
110,111,6488_1,480000,1213,0.06009,51,6.969,1,Rangitaki,51,50,0.4,0.7,108,0.06009,6.969
109,110,6485_2,4774000,5159,0.00599,78,19.024,1,Rangitaki,78,69,0.4,0.7,101,0.00599,19.024
108,109,6485_1,27462000,16721,0.01954,78,98.666,1,Rangitaki,78,69,0.15,0.25,134,0.01954,98.666
107,108,6476_2,4947000,5835,0.03947,157,16.311,0.693,Rangitaki,157,155,0.4,0.95,86.1,0.03947,16.311
106,107,6476_1,899000,1252,0.01266,155,10.86,1,Rangitaki,155,153,0.4,0.75,100,0.01266,10.86
105,106,6461_2,19248000,14406,0.02207,161,85.615,1,Rangitaki,161,159,0.15,0.25,130,0.02207,85.615
104,105,6461_1,5904000,6079,0.05373,167,16.051,0.693,Rangitaki,167,161,0.4,0.95,90.3,0.05373,16.051
103,104,6454_1,57906000,22389,0.01815,23,106.276,1,Rangitaki,23,21,0.15,0.2,126,0.01815,106.276
102,103,6438_2,15793000,10484,0.0155,117,84.06,1,Rangitaki,117,115,0.15,0.25,113,0.0155,84.06
101,102,6438_1,18494000,9337,0.0345,117,19.989,0.85,Rangitaki,117,115,0.4,0.8,126,0.0345,19.989
100,101,6416_1,6821000,5837,0.02585,37,64.462,1,Rangitaki,37,32,0.15,0.2,124,0.02585,64.462
99,100,6414_2,10446000,8008,0.03934,189,17.44,1,Rangitaki,189,187,0.4,0.75,129,0.03934,17.44
98,99,6414_1,472000,1182,0.03053,191,7.623,1,Rangitaki,191,189,0.4,0.75,106,0.03053,7.623
97,98,6411_3,543000,1339,0.0157,153,9.889,1,Rangitaki,153,149,0.4,0.75,106,0.0157,9.889
96,97,6411_2,5792000,6391,0.03599,155,17.17,0.693,Rangitaki,155,153,0.4,0.95,87.5,0.03599,17.17
95,96,6411_1,48757000,20284,0.01852,155,110.141,1,Rangitaki,155,153,0.15,0.25,130,0.01852,110.141
94,95,6404_1,3966000,3560,0.0757,6,47.239,1,Rangitaki,6,5,0.15,0.2,139,0.0757,47.239
93,94,6401_1,37963000,15955,0.02005,60,96.89,1,Rangitaki,60,53,0.15,0.25,123,0.02005,96.89
92,93,6385_2,28114000,17803,0.02167,179,100.476,1,Rangitaki,179,178,0.15,0.25,125,0.02167,100.476
91,92,6385_1,8392000,8051,0.05047,179,16.47,1,Rangitaki,179,178,0.4,0.75,121,0.05047,16.47
90,91,6375_2,3056000,3989,0.00276,32,118.428,1,Rangitaki,32,23,0.15,0.2,122,0.00276,118.428
89,90,6375_1,4185000,4665,0.03502,37,58.249,1,Rangitaki,37,32,0.15,0.2,130,0.03502,58.249
88,89,6369_2,7318000,8937,0.02082,104,17.887,1,Rangitaki,104,103,0.4,0.7,112,0.02082,17.887
87,88,6369_1,739000,2000,0.00403,104,14.459,1,Rangitaki,104,103,0.4,0.7,99,0.00403,14.459
86,87,6337_1,3066000,3104,0.07535,1,37.377,1,Rangitaki,1,0,0.15,0.2,122,0.07535,37.377
85,86,6330_1,8797000,6346,0.02801,11,64.023,1,Rangitaki,11,9,0.15,0.2,131,0.02801,64.023
84,85,6257_1,2148000,4117,0.005,104,17.787,1,Rangitaki,104,103,0.4,0.7,98,0.005,17.787
83,84,6250_2,12042000,6522,0.00235,228,30.779,1,Rangitaki,228,212,0.4,0.75,103,0.00235,30.779
82,83,6250_1,790000,127,0.00289,228,8.903,1,Rangitaki,228,212,0.4,0.75,111,0.00289,8.903
81,82,6235_1,98123000,22001,0.01474,104,47.814,1,Rangitaki,104,103,0.4,0.7,150,0.01474,47.814
80,81,6190_2,5082000,6796,0.01232,306,19.052,1,Rangitaki,306,303,0.4,0.7,109,0.01232,19.052
79,80,6190_1,12999000,8576,0.01756,303,17.729,1,Rangitaki,303,293,0.4,0.7,108,0.01756,17.729
